======================================================================
  STEP 2 — RL OPTIMIZATION TRAJECTORY
======================================================================

Budget:       369 bits
Total steps:  75
RL time:      11.09 s

 Step  Rule                             Cost      Noise  Status
-----  -------------------------- ---------- ----------  ---------------
    0  initial                       20273.0      317.2  ok
    1  rot-sub-vectorize-flex        19834.0      319.6  ok
    2  flex-mul-vectorize            18434.0      319.6  ok
    3  rot-add-vectorize-flex        18017.0      319.6  ok
    4  flex-mul-vectorize            17117.0      319.6  ok
    5  flex-mul-vectorize            16217.0      319.6  ok
    6  flex-sub-vectorize            15718.0      319.6  ok
    7  flex-sub-vectorize            15220.0      320.8  ok
    8  flex-mul-vectorize            14820.0      320.8  ok
    9  flex-mul-vectorize            14420.0      320.8  ok
   10  flex-mul-vectorize            14020.0      320.8  ok
   11  mul-0-0*0                     14270.0      320.8  ok
   12  mul-0-2                       14020.0      320.8  ok
   13  mul-0-0*0                     14270.0      320.8  ok
   14  mul-0-2                       14020.0      320.8  ok
   15  mul-0-0*0                     14270.0      320.8  ok
   16  mul-0-2                       14020.0      320.8  ok
   17  mul-0-0*0                     14270.0      320.8  ok
   18  mul-0-2                       14020.0      320.8  ok
   19  mul-0-0*0                     14270.0      320.8  ok
   20  mul-0-2                       14020.0      320.8  ok
   21  mul-0-0*0                     14270.0      320.8  ok
   22  mul-0-2                       14020.0      320.8  ok
   23  mul-0-0*0                     14270.0      320.8  ok
   24  mul-0-2                       14020.0      320.8  ok
   25  mul-0-0*0                     14270.0      320.8  ok
   26  mul-0-2                       14020.0      320.8  ok
   27  mul-0-0*0                     14270.0      320.8  ok
   28  mul-0-2                       14020.0      320.8  ok
   29  mul-0-0*0                     14270.0      320.8  ok
   30  mul-0-2                       14020.0      320.8  ok
   31  mul-0-0*0                     14270.0      320.8  ok
   32  mul-0-2                       14020.0      320.8  ok
   33  mul-0-0*0                     14270.0      320.8  ok
   34  mul-0-2                       14020.0      320.8  ok
   35  mul-0-0*0                     14270.0      320.8  ok
   36  mul-0-2                       14020.0      320.8  ok
   37  mul-0-0*0                     14270.0      320.8  ok
   38  mul-0-2                       14020.0      320.8  ok
   39  mul-0-0*0                     14270.0      320.8  ok
   40  mul-0-2                       14020.0      320.8  ok
   41  mul-0-0*0                     14270.0      320.8  ok
   42  mul-0-2                       14020.0      320.8  ok
   43  mul-0-0*0                     14270.0      320.8  ok
   44  mul-0-2                       14020.0      320.8  ok
   45  mul-0-0*0                     14270.0      320.8  ok
   46  mul-0-2                       14020.0      320.8  ok
   47  mul-0-0*0                     14270.0      320.8  ok
   48  mul-0-2                       14020.0      320.8  ok
   49  mul-0-0*0                     14270.0      320.8  ok
   50  mul-0-2                       14020.0      320.8  ok
   51  mul-0-0*0                     14270.0      320.8  ok
   52  mul-0-2                       14020.0      320.8  ok
   53  mul-0-0*0                     14270.0      320.8  ok
   54  mul-0-2                       14020.0      320.8  ok
   55  mul-0-0*0                     14270.0      320.8  ok
   56  mul-0-2                       14020.0      320.8  ok
   57  mul-0-0*0                     14270.0      320.8  ok
   58  mul-0-2                       14020.0      320.8  ok
   59  mul-0-0*0                     14270.0      320.8  ok
   60  mul-0-2                       14020.0      320.8  ok
   61  mul-0-0*0                     14270.0      320.8  ok
   62  mul-0-2                       14020.0      320.8  ok
   63  mul-0-0*0                     14270.0      320.8  ok
   64  mul-0-2                       14020.0      320.8  ok
   65  mul-0-0*0                     14270.0      320.8  ok
   66  mul-0-2                       14020.0      320.8  ok
   67  mul-0-0*0                     14270.0      320.8  ok
   68  mul-0-2                       14020.0      320.8  ok
   69  mul-0-0*0                     14270.0      320.8  ok
   70  mul-0-2                       14020.0      320.8  ok
   71  mul-0-0*0                     14270.0      320.8  ok
   72  mul-0-2                       14020.0      320.8  ok
   73  mul-0-0*0                     14270.0      320.8  ok
   74  mul-0-2                       14020.0      320.8  ok
   75  mul-0-0*0                     14270.0      320.8  ok
