benchmark,w_ops,w_keys,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multiplicative Depth,compile_time (s),circuit_execution_time (s),galois_keys_generation_time (s),total_execution_time (s),Remaining_noise_budget,rotation_keys_size (MB),rotation_keys_count,final_ops_cost,final_keys_cost
tree_10_1_50-50,0.0,1.0,28,0,0,3,0,19,14,6,29.543,2.422,0.215,2.637,165,36.2679,2,N/A,N/A
tree_10_2_50-50,0.0,1.0,18,0,0,2,0,15,16,7,25.718,1.971,0.144,2.115,133,36.2679,2,N/A,N/A
tree_5_1_100-50,0.0,1.0,28,0,0,3,0,13,11,4,21.240,1.803,0.148,1.951,230,36.2679,2,N/A,N/A
tree_5_2_100-50,0.0,1.0,17,0,0,2,0,12,10,4,8.108,1.563,0.144,1.707,230,36.2679,2,N/A,N/A
tree_10_1_100-50,0.0,1.0,511,0,0,0,0,512,10,9,163.164,72.054,0.000,72.054,66,0.125542,0,N/A,N/A
tree_10_2_100-50,0.0,1.0,522,0,0,2,0,514,16,8,619.797,71.372,0.143,71.516,97,36.2679,2,N/A,N/A
tree_5_1_100-100,0.0,1.0,1,0,0,1,0,15,6,4,9.971,2.241,0.099,2.340,229,18.1967,1,N/A,N/A
tree_5_2_100-100,0.0,1.0,2,0,0,0,0,29,5,4,6.242,3.116,0.000,3.116,229,0.125542,0,N/A,N/A
tree_10_1_100-100,0.0,1.0,1,0,0,1,0,511,11,9,15.946,56.928,0.077,57.005,63,18.1967,1,N/A,N/A
tree_10_2_100-100,0.0,1.0,0,0,0,0,0,1023,10,10,12.273,119.405,0.000,119.405,30,0.125542,0,N/A,N/A
