benchmark,w_ops,w_keys,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multiplicative Depth,compile_time (s),circuit_execution_time (s),galois_keys_generation_time (s),total_execution_time (s),Remaining_noise_budget,rotation_keys_size (MB),rotation_keys_count,final_ops_cost,final_keys_cost
gx_kernel_32,0.8,0.2,10,0,4,0,3,5,8,2,6756.970,1.597,0.000,1.597,305,0.125542,0,1912611.0,0.0
gx_kernel_32,1.0,0.0,10,0,4,0,3,5,8,2,6747.840,1.541,0.000,1.541,305,0.125542,0,1912611.0,0.0
gy_kernel_4,0.8,0.2,8,0,4,1,0,4,8,1,30.025,0.653,0.219,0.872,339,18.1967,1,12576.0,1.0
gy_kernel_4,1.0,0.0,8,0,4,1,0,4,8,1,30.120,0.755,0.245,1.000,339,18.1967,1,12576.0,1.0
gy_kernel_8,0.8,0.2,10,0,4,0,3,5,7,2,126.644,1.172,0.000,1.172,307,0.125542,0,84611.0,0.0
gy_kernel_8,1.0,0.0,10,0,4,0,3,5,7,2,132.706,1.751,0.000,1.751,307,0.125542,0,84611.0,0.0
gy_kernel_16,0.8,0.2,13,0,8,0,1,8,8,1,113.704,1.121,0.000,1.121,337,0.125542,0,393509.0,0.0
gy_kernel_16,1.0,0.0,13,0,8,0,1,8,8,1,107.976,1.202,0.000,1.202,337,0.125542,0,393509.0,0.0
gy_kernel_32,0.8,0.2,13,0,8,0,1,8,8,1,397.813,1.321,0.000,1.321,336,0.125542,0,1681509.0,0.0
gy_kernel_32,1.0,0.0,13,0,8,0,1,8,8,1,394.979,1.130,0.000,1.130,336,0.125542,0,1681509.0,0.0
hamming_dist_4,0.8,0.2,5,1,0,2,0,3,8,2,34.353,1.687,0.494,2.181,295,36.2679,2,3119.0,2.0
hamming_dist_4,1.0,0.0,5,1,0,2,0,3,8,2,38.018,1.991,0.642,2.633,295,36.2679,2,3119.0,2.0
hamming_dist_8,0.8,0.2,7,2,1,3,0,5,12,2,73.374,2.916,0.471,3.387,294,36.2679,2,1891.0,2.0
hamming_dist_8,1.0,0.0,7,2,1,3,0,5,12,2,74.352,2.967,0.667,3.634,294,36.2679,2,1891.0,2.0
hamming_dist_16,0.8,0.2,12,4,4,4,0,11,15,3,529.752,4.428,0.585,5.014,294,36.2679,2,2112.0,2.0
hamming_dist_16,1.0,0.0,12,4,4,4,0,11,15,3,368.022,2.982,0.664,3.646,294,36.2679,2,2112.0,2.0
hamming_dist_32,0.8,0.2,13,2,2,5,0,6,15,3,1675.700,2.449,0.508,2.957,293,36.2679,2,42878.0,2.0
hamming_dist_32,1.0,0.0,13,2,2,5,0,6,15,3,1096.840,2.038,0.399,2.436,293,36.2679,2,42878.0,2.0
l2_distance_4,0.8,0.2,3,1,0,2,0,1,7,1,19.839,0.626,0.427,1.053,326,36.2679,2,2217.0,2.0
l2_distance_4,1.0,0.0,3,1,0,2,0,1,7,1,18.294,0.581,0.426,1.007,326,36.2679,2,2217.0,2.0
l2_distance_8,0.8,0.2,6,5,0,3,0,2,9,1,35.886,1.366,0.563,1.929,326,54.3391,3,788.0,3.0
l2_distance_8,1.0,0.0,6,5,0,3,0,2,9,1,34.885,1.287,0.636,1.922,326,54.3391,3,788.0,3.0
l2_distance_16,0.8,0.2,5,3,0,4,0,2,10,1,73.544,1.242,0.854,2.096,326,72.4103,4,4671.0,4.0
l2_distance_16,1.0,0.0,5,3,0,4,0,2,10,1,74.898,1.209,0.665,1.874,326,72.4103,4,4671.0,4.0
l2_distance_32,0.8,0.2,10,8,0,3,0,8,13,1,406.713,3.553,0.661,4.215,324,54.3391,3,25194.0,3.0
l2_distance_32,1.0,0.0,10,8,0,3,0,8,13,1,426.954,3.265,0.531,3.797,324,54.3391,3,25194.0,3.0
poly_reg_4,0.8,0.2,4,0,0,1,0,2,7,2,18.774,0.993,0.175,1.168,296,18.1967,1,2166.0,1.0
poly_reg_4,1.0,0.0,4,0,0,1,0,2,7,2,18.717,1.066,0.292,1.358,296,18.1967,1,2166.0,1.0
poly_reg_8,0.8,0.2,4,0,0,1,0,2,7,2,22.792,1.024,0.274,1.298,296,18.1967,1,4166.0,1.0
poly_reg_8,1.0,0.0,4,0,0,1,0,2,7,2,21.909,1.170,0.205,1.375,296,18.1967,1,4166.0,1.0
poly_reg_16,0.8,0.2,5,0,0,1,0,2,7,2,31.083,1.025,0.255,1.281,295,18.1967,1,17833.0,1.0
poly_reg_16,1.0,0.0,5,0,0,1,0,2,7,2,34.003,0.940,0.178,1.118,295,18.1967,1,17833.0,1.0
poly_reg_32,0.8,0.2,3,0,0,0,0,2,5,2,55.992,0.786,0.000,0.786,296,0.125542,0,45552.0,0.0
poly_reg_32,1.0,0.0,3,0,0,0,0,2,5,2,57.775,0.745,0.000,0.745,296,0.125542,0,45552.0,0.0
roberts_cross_4,0.8,0.2,6,0,0,1,5,2,7,1,25.530,0.875,0.206,1.081,325,18.1967,1,15431.0,1.0
roberts_cross_4,1.0,0.0,6,0,0,1,5,2,7,1,24.164,1.088,0.223,1.312,326,18.1967,1,15431.0,1.0
roberts_cross_8,0.8,0.2,7,0,0,0,3,2,5,1,34.263,0.918,0.000,0.918,327,0.125542,0,105359.0,0.0
roberts_cross_8,1.0,0.0,7,0,0,0,3,2,5,1,31.803,1.036,0.000,1.036,327,0.125542,0,105359.0,0.0
roberts_cross_16,0.8,0.2,5,0,0,0,2,2,5,1,64.028,0.914,0.000,0.914,327,0.125542,0,585258.0,0.0
roberts_cross_16,1.0,0.0,5,0,0,0,2,2,5,1,60.159,0.880,0.000,0.880,327,0.125542,0,585258.0,0.0
roberts_cross_32,0.8,0.2,5,0,0,0,2,2,5,1,241.405,0.956,0.000,0.956,327,0.125542,0,2449258.0,0.0
roberts_cross_32,1.0,0.0,5,0,0,0,2,2,5,1,237.901,0.779,0.000,0.779,327,0.125542,0,2449258.0,0.0
tree_5_1_50-50,0.8,0.2,5,0,0,0,0,2,4,2,15.883,0.940,0.000,0.940,296,0.125542,0,1758.0,0.0
tree_5_1_50-50,1.0,0.0,5,0,0,0,0,2,4,2,15.998,1.060,0.000,1.060,296,0.125542,0,1758.0,0.0
tree_5_2_50-50,0.8,0.2,4,0,0,0,0,2,4,2,16.098,0.921,0.000,0.921,296,0.125542,0,1508.0,0.0
tree_5_2_50-50,1.0,0.0,4,0,0,0,0,2,4,2,15.404,0.876,0.000,0.876,296,0.125542,0,1508.0,0.0
tree_10_1_50-50,0.8,0.2,22,0,0,2,0,14,14,6,81.976,5.781,0.447,6.228,165,36.2679,2,7175.0,2.0
tree_10_1_50-50,1.0,0.0,22,0,0,2,0,14,14,6,114.650,6.066,0.392,6.458,165,36.2679,2,7175.0,2.0
