benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),circuit_execution_time (s),galois_keys_generation_time (s),total_execution_time (s),Remaining_noise_budget,rotation_keys_size (MB)
max_3,6.0,1.0,0.0,3.0,1.0,3.0,10.0,2.0,12.524,0.718,0.222,0.940,295,36.2679
max_4,10.0,0.0,0.0,2.0,4.0,7.0,11.0,3.0,11.818,1.304,0.223,1.528,262,36.2679
max_5,18.0,1.0,0.0,5.0,7.0,15.0,15.0,4.0,12.566,2.692,0.446,3.138,229,72.4103
sort_3,13.0,0.0,0.0,2.0,5.0,7.0,12.0,3.0,11.367,1.330,0.223,1.553,262,36.2679
sort_4,43.0,2.0,0.0,6.0,16.0,39.0,20.0,6.0,18.898,6.628,0.556,7.184,163,90.4814
box_blur_3,11.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.800,0.286,0.000,0.286,359,0.125542
box_blur_4,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.724,0.240,0.000,0.240,359,0.125542
box_blur_5,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.037,0.217,0.000,0.217,359,0.125542
box_blur_8
box_blur_15
box_blur_16
box_blur_24
box_blur_31
box_blur_32
lin_reg_3
lin_reg_4,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,11.247,0.053,0.000,0.053,358,0.125542
lin_reg_5
lin_reg_8,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,11.030,0.053,0.000,0.053,359,0.125542
lin_reg_15
lin_reg_16,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,11.679,0.053,0.000,0.053,358,0.125542
lin_reg_24
lin_reg_31
lin_reg_32,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,11.208,0.053,0.000,0.053,359,0.125542
hamming_dist_3,5.0,1.0,0.0,2.0,0.0,3.0,8.0,2.0,12.445,0.652,0.224,0.875,294,36.2679
hamming_dist_4,6.0,2.0,1.0,1.0,0.0,5.0,7.0,2.0,11.328,0.800,0.112,0.912,295,18.1967
hamming_dist_5,7.0,2.0,0.0,3.0,0.0,5.0,9.0,2.0,11.338,1.067,0.223,1.290,295,36.2679
hamming_dist_8,10.0,4.0,1.0,3.0,0.0,9.0,8.0,2.0,14.883,1.620,0.223,1.843,295,36.2679
